SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
06027;521;675;147;108;621;320;1053;48;95
06028;610;691;157;96;772;276;1080;112;109
06029;559;674;102;102;704;325;1061;75;97
06030;625;739;155;99;843;267;1099;128;137
06031;481;610;96;89;680;226;906;91;94
06032;548;612;147;82;703;228;1003;72;85
06033;596;710;133;95;809;269;1109;114;83
06034;566;722;139;94;773;282;1075;107;106
06035;464;548;110;88;563;251;876;80;56
06036;627;815;166;108;752;416;1243;84;115
06037;526;603;143;114;609;263;898;103;128
06038;623;865;183;117;867;321;1243;146;99
06039;716;893;166;111;1057;275;1214;222;173
06040;665;947;184;140;898;390;1341;124;147
06041;773;929;224;169;965;344;1399;151;152
06042;815;943;271;130;1044;313;1367;181;210
06043;596;699;162;95;802;236;973;134;188
06044;700;787;181;115;895;296;1200;157;130
06045;596;734;143;106;883;198;960;181;189
06046;528;621;126;86;745;192;887;132;130
06047;836;877;200;122;1163;228;1200;239;274
06048;660;736;154;106;905;231;1041;170;185
06049;506;618;150;84;689;201;876;112;136
06050;584;663;141;83;808;215;924;168;155
06051;580;750;177;88;819;246;1041;138;151
06052;721;851;165;133;993;281;1237;179;156
06053;658;808;176;88;903;299;1177;165;124
06054;782;863;220;106;1052;267;1289;173;183
06055;614;800;167;95;857;295;1180;108;126
06056;724;860;174;97;1091;222;1208;195;181
06057;677;833;164;93;964;289;1173;158;179
06058;717;891;139;113;1051;305;1256;159;193
06059;689;798;174;100;901;312;1256;120;111
06060;834;964;185;144;1128;341;1432;172;194
06061;617;728;135;101;835;274;1102;74;169
06062;603;700;163;95;760;285;1063;100;140
06063;712;823;181;95;965;294;1232;132;171
06064;884;1062;263;166;1053;464;1648;133;165
06065;542;661;162;86;683;272;1037;78;88
06066;440;545;113;45;595;232;842;59;84
06067;806;971;194;130;1102;351;1471;149;157
06068;692;857;192;131;875;351;1338;107;104
06069;512;584;129;83;635;249;943;63;90
06070;826;1041;224;118;1130;395;1517;128;222
06071;491;574;111;142;574;238;908;54;103
06072;718;897;170;148;870;427;1429;79;107
06073;644;747;130;109;807;345;1202;64;125
06074;529;596;156;86;652;231;933;79;113
06075;503;600;118;86;582;317;1014;28;61
06076;651;664;144;98;663;410;1157;49;109
06077;513;663;152;105;681;238;990;71;115
06078;619;715;164;95;846;229;1072;110;152
06079;517;607;132;73;644;275;969;76;79
06080;535;622;131;90;647;289;1009;39;109
06081;592;706;144;100;779;275;1115;77;106
06082;813;1003;212;180;1029;395;1601;86;129
06083;820;898;175;140;944;459;1532;68;118
06084;701;818;180;110;887;342;1304;85;130
06085;576;705;148;105;680;348;1149;58;74
06086;467;519;122;78;544;242;909;37;40
06087;841;1033;188;115;985;586;1760;45;69
06088;543;660;144;96;658;305;1074;50;79
07001;693;883;154;127;793;502;1435;44;97
07002;520;630;109;65;666;310;1018;53;79
07003;610;709;194;104;759;262;1082;87;150
